17/04/2021 18:23:11 -> {'name': 'Palit GeForce RTX 3060 Ti Gaming Pro 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/905-palit-rtx-3060-ti-gaming-pro-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '479,95', 'lastStockTs': '12/01/2021 14:57:10', 'id': '43'} 
17/04/2021 18:23:35 -> {'name': 'Asus TUF GeForce RTX 3060 Ti OC Gaming 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/919-asus-tuf-geforce-rtx-3060-ti-oc-gaming-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '599,95', 'lastStockTs': '12/01/2021 14:57:10', 'id': '82'} 
17/04/2021 18:23:38 -> {'name': 'EVGA GeForce RTX 3070 XC3 ULTRA GAMING 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/883-evga-geforce-rtx-3070-xc3-ultra-gaming-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '669,95', 'lastStockTs': '12/01/2021 14:57:10', 'id': '89'} 
17/04/2021 18:23:44 -> {'name': 'Gigabyte AORUS GeForce RTX 3070 MASTER 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/881-gigabyte-aorus-geforce-rtx-3070-master-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '849,95', 'lastStockTs': '28/01/2021 11:05:58', 'id': '102'} 
17/04/2021 18:24:08 -> {'name': 'Palit GeForce RTX 3070 GAMING PRO 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/879-palit-geforce-rtx-3070-gaming-pro-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '594,95', 'lastStockTs': '12/01/2021 14:57:10', 'id': '141'} 
17/04/2021 18:24:09 -> {'name': 'Palit GeForce RTX 3070 Jet Stream 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/906-palit-rtx-3070-jet-stream-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '649,95', 'lastStockTs': '12/01/2021 14:57:10', 'id': '144'} 
17/04/2021 18:50:19 -> {'name': 'Zotac Gaming GeForce RTX 3070 Twin Edge OC White', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/917-zotac-gaming-geforce-rtx-3070-twin-edge-oc-white-edition-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '649,95', 'lastStockTs': '22/01/2021 21:20:25', 'id': '79'} 
17/04/2021 18:50:21 -> {'name': 'Asus TUF GeForce RTX 3060 Ti OC Gaming 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/919-asus-tuf-geforce-rtx-3060-ti-oc-gaming-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '599,95', 'lastStockTs': '12/01/2021 14:57:10', 'id': '82'} 
17/04/2021 18:50:23 -> {'name': 'EVGA GeForce RTX 3070 XC3 ULTRA GAMING 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/883-evga-geforce-rtx-3070-xc3-ultra-gaming-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '669,95', 'lastStockTs': '12/01/2021 14:57:10', 'id': '89'} 
17/04/2021 18:50:52 -> {'name': 'Palit GeForce RTX 3070 GAMEROCK OC 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/910-palit-geforce-rtx-3070-gamerock-oc-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '669,95', 'lastStockTs': '12/01/2021 14:57:10', 'id': '138'} 
17/04/2021 18:50:54 -> {'name': 'Palit GeForce RTX 3070 GAMING PRO 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/879-palit-geforce-rtx-3070-gaming-pro-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '594,95', 'lastStockTs': '12/01/2021 14:57:10', 'id': '141'} 
17/04/2021 18:51:15 -> {'name': 'Gigabyte GeForce RTX 3070 VISION OC 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/862-gigabyte-geforce-rtx-3070-vision-oc-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '799,95', 'lastStockTs': '26/01/2021 22:21:37', 'id': '4'} 
17/04/2021 18:51:46 -> {'name': 'Gigabyte GeForce RTX 3070 EAGLE OC 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/857-gigabyte-geforce-rtx-3070-eagle-oc-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '649,95', 'lastStockTs': '12/01/2021 14:57:10', 'id': '58'} 
17/04/2021 18:52:01 -> {'name': 'Asus TUF GeForce RTX 3060 Ti OC Gaming 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/919-asus-tuf-geforce-rtx-3060-ti-oc-gaming-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '599,95', 'lastStockTs': '12/01/2021 14:57:10', 'id': '82'} 
17/04/2021 18:52:01 -> {'name': 'EVGA GeForce RTX 3070 XC3 BLACK GAMING 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/853-evga-geforce-rtx-3070-xc3-black-gaming-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '649,95', 'lastStockTs': '12/01/2021 14:57:10', 'id': '87'} 
17/04/2021 18:52:02 -> {'name': 'EVGA GeForce RTX 3070 XC3 ULTRA GAMING 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/883-evga-geforce-rtx-3070-xc3-ultra-gaming-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '669,95', 'lastStockTs': '12/01/2021 14:57:10', 'id': '89'} 
17/04/2021 18:52:04 -> {'name': 'Zotac GeForce RTX 3060 Ti D6 Twin Edge OC 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/892-zotac-rtx-3060-ti-twin-edge-oc.html', 'status': 'OUT OF STOCK', 'price': '549,95', 'lastStockTs': '26/01/2021 19:29:39', 'id': '94'} 
17/04/2021 19:02:16 -> {'name': 'Gigabyte GeForce RTX 3070 EAGLE OC 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/857-gigabyte-geforce-rtx-3070-eagle-oc-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '649,95', 'lastStockTs': '12/01/2021 14:57:10', 'id': '58'} 
17/04/2021 19:02:39 -> {'name': 'Zotac GeForce RTX 3060 Ti D6 Twin Edge OC 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/892-zotac-rtx-3060-ti-twin-edge-oc.html', 'status': 'OUT OF STOCK', 'price': '549,95', 'lastStockTs': '26/01/2021 19:29:39', 'id': '94'} 
17/04/2021 19:03:10 -> {'name': 'Palit GeForce RTX 3070 GAMING PRO 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/879-palit-geforce-rtx-3070-gaming-pro-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '594,95', 'lastStockTs': '12/01/2021 14:57:10', 'id': '141'} 
17/04/2021 19:03:55 -> {'name': 'Palit GeForce RTX 3060 Ti Gaming Pro 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/905-palit-rtx-3060-ti-gaming-pro-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '479,95', 'lastStockTs': '12/01/2021 14:57:10', 'id': '43'} 
17/04/2021 19:04:03 -> {'name': 'Gigabyte GeForce RTX 3070 EAGLE OC 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/857-gigabyte-geforce-rtx-3070-eagle-oc-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '649,95', 'lastStockTs': '12/01/2021 14:57:10', 'id': '58'} 
17/04/2021 19:04:08 -> {'name': 'Palit GeForce RTX 3060 Ti Dual 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/908-palit-geforce-rtx-3060-ti-dual-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '529,95', 'lastStockTs': '12/01/2021 14:57:10', 'id': '66'} 
17/04/2021 19:20:17 -> {'name': 'Gigabyte GeForce RTX 3070 EAGLE OC 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/857-gigabyte-geforce-rtx-3070-eagle-oc-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '649,95', 'lastStockTs': '12/01/2021 14:57:10', 'id': '58'} 
17/04/2021 19:20:23 -> {'name': 'Palit GeForce RTX 3060 Ti Dual 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/908-palit-geforce-rtx-3060-ti-dual-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '529,95', 'lastStockTs': '12/01/2021 14:57:10', 'id': '66'} 
17/04/2021 19:20:43 -> {'name': 'Gigabyte AORUS GeForce RTX 3070 MASTER 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/881-gigabyte-aorus-geforce-rtx-3070-master-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '849,95', 'lastStockTs': '28/01/2021 11:05:58', 'id': '102'} 
17/04/2021 19:20:50 -> {'name': 'Gigabyte GeForce RTX 3070 GAMING OC 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/847-gigabyte-geforce-rtx-3070-gaming-oc-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '799,95', 'lastStockTs': '22/03/2021 15:13:37', 'id': '113'} 
17/04/2021 19:21:05 -> {'name': 'Palit GeForce RTX 3070 GAMING PRO 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/879-palit-geforce-rtx-3070-gaming-pro-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '594,95', 'lastStockTs': '12/01/2021 14:57:10', 'id': '141'} 
17/04/2021 19:21:52 -> {'name': 'Palit GeForce RTX 3060 Ti Gaming Pro 8GB GDDR6', 'store': 'siabyte', 'url': 'https://siabyte.com/tarjetas-graficas/905-palit-rtx-3060-ti-gaming-pro-8gb-gddr6.html', 'status': 'OUT OF STOCK', 'price': '479,95', 'lastStockTs': '12/01/2021 14:57:10', 'id': '43'} 
